style,artist,title,matched,video_id,youtube_url,video_title,source,score,searched_at
House,Teack & Phase,People,yes,nGgdKoVVkKU,https://music.youtube.com/watch?v=nGgdKoVVkKU,People Phase,ytmusic,77.41935483870968,2026-09-04T01:16:42
House,Teack & Phase,The Street (Part 1),yes,J_me0T2w5n8,https://music.youtube.com/watch?v=J_me0T2w5n8,Teack & Phase – The Street Part 1,ytmusic,84.21052631578948,2026-09-04T01:16:40
House,Tenth Chapter,Prologue (Initial Dub Mix),yes,BOfe99gbf8U,https://music.youtube.com/watch?v=BOfe99gbf8U,Prologue (Initial Dub Mix),ytmusic,100.0,2026-09-04T01:15:26
House,Tenth Chapter,Prologue (Lisa Loud Mix),yes,BW1lEPW-ZUA,https://music.youtube.com/watch?v=BW1lEPW-ZUA,Prologue (Lisa Loud Mix),ytmusic,100.0,2026-09-04T01:15:26
House,Tenth Chapter,Prologue (Loud & Proud Dub),yes,aE5yg3VW_u8,https://music.youtube.com/watch?v=aE5yg3VW_u8,Prologue (Loud & Proud Dub),ytmusic,100.0,2026-09-04T01:15:27
House,The Aloof,Purity (Deep Mix),yes,X9bg8Ghl_EI,https://music.youtube.com/watch?v=X9bg8Ghl_EI,The Aloof - Purity (Deep Mix),ytmusic,100.0,2026-09-04T01:14:11
House,The Aloof,Purity (In The Shower Mix),yes,UAiZ8vgr2hU,https://music.youtube.com/watch?v=UAiZ8vgr2hU,The Aloof - Purity (In The Shower Mix),ytmusic,100.0,2026-09-04T01:14:10
House,The Aloof,Purity (Junior Style Disco Dub),yes,lVRzPaTE3lE,https://music.youtube.com/watch?v=lVRzPaTE3lE,Purity (Junior Style Remix),ytmusic,89.55223880597015,2026-09-04T01:14:09
House,The Boogie Pimps,Somebody To Love (CaterpillarClassich (Mark J Klak Mix)),yes,qllXGFJoZ_s,https://music.youtube.com/watch?v=qllXGFJoZ_s,Somebody to Love (Salt Shaker Remix) (CaterpillarClassich - Mark J Klak Mix),ytmusic,88.88888888888889,2026-09-04T01:16:25
House,The Boogie Pimps,Somebody To Love (ClubReise (Mirko Jacob Mix)),yes,0-McDbIclZg,https://music.youtube.com/watch?v=0-McDbIclZg,boogie pimps somebody to love,ytmusic,93.54838709677419,2026-09-04T01:16:24
House,The Boogie Pimps,Somebody To Love (Main Club Mix),yes,Yt_AjKDdpd4,https://music.youtube.com/watch?v=Yt_AjKDdpd4,Somebody to Love (Main Club Mix),ytmusic,100.0,2026-09-04T01:16:23
House,The Boogie Pimps,Somebody To Love (Moonbootica Mix),yes,0qZPW294rsQ,https://music.youtube.com/watch?v=0qZPW294rsQ,Somebody to Love (Moonbootica Mix),ytmusic,100.0,2026-09-04T01:16:23
House,The Glass,Hear The Music,yes,T30gRYn0weQ,https://music.youtube.com/watch?v=T30gRYn0weQ,Hear The Music Mylo Remix,ytmusic,100.0,2026-09-04T01:16:45
House,The Glass,Won't Bother Me (Junior Sanchez Remix),yes,ebVSxQjEIug,https://music.youtube.com/watch?v=ebVSxQjEIug,When We Fight (Junior Sanchez Remix),ytmusic,73.6842105263158,2026-09-04T01:16:43
House,The Glass,Won't Bother Me (Original),yes,aXT22DwXHcw,https://music.youtube.com/watch?v=aXT22DwXHcw,"Won't Bother Me Original 12"" Mix",ytmusic,87.17948717948718,2026-09-04T01:16:44
House,The Object,Theme From Terminator 2 (Bass Bompers Remix),yes,SMp3DSfADGw,https://music.youtube.com/watch?v=SMp3DSfADGw,The Theme From Terminator 2,ytmusic,100.0,2026-09-04T01:16:06
House,The Object,Theme From Terminator 2 (Bass Team Remix 1),yes,SMp3DSfADGw,https://music.youtube.com/watch?v=SMp3DSfADGw,The Theme From Terminator 2,ytmusic,100.0,2026-09-04T01:16:04
House,The Object,Theme From Terminator 2 (Bass Team Remix 2),yes,SMp3DSfADGw,https://music.youtube.com/watch?v=SMp3DSfADGw,The Theme From Terminator 2,ytmusic,100.0,2026-09-04T01:16:04
House,The Object,Theme From Terminator 2 (Bass Team Remix 3),yes,SMp3DSfADGw,https://music.youtube.com/watch?v=SMp3DSfADGw,The Theme From Terminator 2,ytmusic,100.0,2026-09-04T01:16:05
House,The Point,Dance Is The Nu Sex (Angel's Foreplay),yes,avt_72GmlnA,https://music.youtube.com/watch?v=avt_72GmlnA,The Point - Dance Is The Nu Sex (Angel's Foreplay) (1993),ytmusic,100.0,2026-09-04T01:09:41
House,The Point,Dance Is The Nu Sex (Dave Angel Vocal),yes,na1cx8zgwdQ,https://music.youtube.com/watch?v=na1cx8zgwdQ,The Point - Dance Is The Nu Sex (Dave Angel Vocal),ytmusic,100.0,2026-09-04T01:09:41
House,The Point,Dance Is The Nu Sex (Diss-Cuss Dub),yes,2VYfxPuVCnQ,https://music.youtube.com/watch?v=2VYfxPuVCnQ,The Point - Dance Is The Nu Sex (Diss-Cuss Dub) 1993,ytmusic,100.0,2026-09-04T01:09:40
House,The Point,Dance Is The Nu Sex (Diss-Cuss Vocal),yes,A-ha6PCPq3k,https://music.youtube.com/watch?v=A-ha6PCPq3k,The Point - Dance Is The Nu Sex (Diss-Cuss Vocal) 1993,ytmusic,100.0,2026-09-04T01:09:39
